,A : Codificação por CLA,B : Codificação por GEMINIPRO,C : Codificação por TCCAG
1 : ARTIGO 01,4,4,15
2 : ARTIGO 02,7,4,30
3 : ARTIGO 03,7,6,9
4 : ARTIGO 04,4,3,34
5 : ARTIGO 05,5,4,16
6 : ARTIGO 06,4,5,11
7 : ARTIGO 07,2,2,2
8 : ARTIGO 08,17,5,37
9 : ARTIGO 09,8,4,30
10 : ARTIGO 10,3,4,20
11 : ARTIGO 11,6,4,14
12 : ARTIGO 12,12,4,45
13 : ARTIGO 13,12,5,28
14 : ARTIGO 14,7,7,48
15 : ARTIGO 15,2,4,17
16 : ARTIGO 16,7,4,12
17 : ARTIGO 17,8,8,27
18 : ARTIGO 18,6,7,61
19 : ARTIGO 19,11,8,101
20 : ARTIGO 20,12,5,40
21 : ARTIGO 21,13,5,44
22 : ARTIGO 22,15,8,64
23 : ARTIGO 23,14,6,28
24 : ARTIGO 24,11,5,25
25 : ARTIGO 25,18,5,49
26 : ARTIGO 26,9,4,40
27 : ARTIGO 27 (1),8,2,17
28 : ARTIGO 28,11,7,23
29 : ARTIGO 29,12,9,48
30 : ARTIGO 30,13,7,40
31 : ARTIGO 31,9,7,51
32 : ARTIGO 32,8,6,35
33 : ARTIGO 33,13,5,50
34 : ARTIGO 34,13,6,32
35 : ARTIGO 35,11,5,21
36 : ARTIGO 36,6,4,23
37 : ARTIGO 37,18,5,58
38 : ARTIGO 38,16,6,44
39 : ARTIGO 39,7,6,28
40 : ARTIGO 40,11,5,33
41 : ARTIGO 41,12,5,30
42 : ARTIGO 42,16,5,32
43 : ARTIGO 43,13,5,21
